Date,Open,High,Low,Close,Volume
2017-04-19 20:48:00,2340.28,2341.23,2340.28,2341.22,0.0
2017-04-19 20:49:00,2340.33,2340.48,2340.23,2340.27,0.0
2017-04-19 20:50:00,2339.82,2340.42,2339.77,2340.32,0.0
2017-04-19 20:51:00,2338.85,2339.84,2338.85,2339.84,0.0
2017-04-19 20:52:00,2338.72,2339.2,2338.72,2338.73,0.0
2017-04-19 20:53:00,2337.25,2338.86,2337.25,2338.74,0.0
2017-04-19 20:54:00,2337.73,2337.94,2337.33,2337.33,0.0
2017-04-19 20:55:00,2338.54,2338.55,2337.6,2337.71,0.0
2017-04-19 20:56:00,2338.52,2338.57,2338.41,2338.54,0.0
2017-04-19 20:57:00,2338.75,2338.88,2338.51,2338.51,0.0
2017-04-19 20:58:00,2338.69,2338.91,2338.67,2338.86,0.0
2017-04-19 20:59:00,2338.68,2338.72,2338.55,2338.68,0.0
2017-04-19 21:00:00,2338.42,2338.69,2338.3,2338.69,0.0
2017-04-19 21:01:00,2337.58,2338.42,2337.56,2338.41,0.0
2017-04-19 21:02:00,2338.72,2338.72,2337.36,2337.5,0.0
2017-04-19 21:03:00,2339.01,2339.23,2338.7,2338.72,0.0
2017-04-19 21:04:00,2338.88,2339.04,2338.81,2339.01,0.0
2017-04-19 21:05:00,2338.82,2339.07,2338.82,2338.87,0.0
2017-04-19 21:06:00,2338.94,2338.97,2338.82,2338.82,0.0
2017-04-19 21:07:00,2338.11,2338.94,2338.1,2338.94,0.0
2017-04-19 21:08:00,2338.53,2338.53,2338.12,2338.12,0.0
2017-04-19 21:09:00,2339.16,2339.21,2338.57,2338.58,0.0
2017-04-19 21:10:00,2339.25,2339.3,2338.93,2339.18,0.0
2017-04-19 21:11:00,2339.58,2339.8,2339.17,2339.26,0.0
2017-04-19 21:12:00,2339.61,2339.77,2339.3,2339.58,0.0
2017-04-19 21:13:00,2339.59,2339.71,2339.57,2339.61,0.0
2017-04-19 21:14:00,2339.5,2339.57,2339.33,2339.57,0.0
2017-04-19 21:15:00,2339.05,2339.71,2339.05,2339.52,0.0
2017-04-19 21:16:00,2339.32,2339.32,2338.91,2338.96,0.0
2017-04-19 21:17:00,2338.93,2339.31,2338.91,2339.29,0.0
2017-04-19 21:18:00,2339.57,2339.57,2338.91,2338.95,0.0
2017-04-19 21:19:00,2339.71,2339.75,2339.4,2339.57,0.0
2017-04-19 21:20:00,2340.24,2340.25,2339.54,2339.63,0.0
2017-04-19 21:21:00,2340.11,2340.42,2340.07,2340.24,0.0
